"Date","Asset","Return"
2013-01-23,"BGF World Gold A2 HKD Hedged",-0.0057324
2013-01-23,"BGF World Gold A2",-0.00492386
2013-01-23,"BGF World Gold X2",-0.00465831
2013-01-23,"BGF World Gold D4",-0.010428
2013-01-23,"BGF World Gold I2",-0.0047397
2013-01-23,"BGF World Gold D2 SGD Hedged",-0.00682381
2013-01-23,"BGF Swiss Small & MidCap Opps A2",0.0107731
2013-01-23,"BGF World Gold D2",-0.00480149
2013-01-23,"BGF World Gold A4",-0.00492386
2013-01-23,"BSF European Unconstrained Eq I2 PF EUR",0.00592204
2013-01-23,"Danske Invest Alm Bol ML Obl Kl DKK W d",-0.00106931
2013-01-23,"Danske Invest Danm In x OMXC20 DKK Wd",0.0110503
2013-01-23,"Danske Inv Euro IG CB Rst DKK Wd",-0.00105953
2013-01-23,"Danske Invest Euro IG Obl KL DKK Wdh",-0.00128822
2013-01-23,"Danske Invest US High Yield Bonds KL",-0.00128822
2013-01-23,"Danske Invest Kommuner 4 KL",-0.00085747
2013-01-23,"Danske Invest Danm In ex OMXC20 DKK d",0.0110503
2013-01-23,"Danske Inv EuroIG CorpBds Re KL DKKd",-0.00105953
2013-01-23,"Danske Invest Gl VO KL DKK W d h",-0.00150801
2013-01-23,"Danske Invest Euro IG Corp Bd I",-0.00765391
2013-01-23,"Wealth Invest HP Engros Korte Danske Obl",-0.00114792
2013-01-23,"Gudme Raaschou European High Yield",-0.000467545
2013-01-23,"Jyske Invest Højt Ratede Vrk.obl KL",-0.00264068
2013-01-23,"Maj Invest Danske Obligationer",-0.0010318
2013-01-23,"Maj Invest Vækstaktier",0.000551437
2013-01-23,"Nordea Invest Engros Corporate Bonds",-0.000569422
2013-01-23,"Nordea Invest Danske Aktier Fokus KL 1",0.0101111
2013-01-23,"Nordea Invest Euro High Yield Bnd KL 1",-0.00156869
2013-01-23,"Nordea Invest Korte Obl Lagerbe KL 1",-0.00144152
2013-01-23,"Nykredit Alpha Mira",0.00122125
2013-01-23,"Nykredit Invest Engros DK Fokusaktier KL",-0.00228188
2013-01-23,"Nykredit Invest Ansvarlige Kreditobl.",-0.00172592
2013-01-23,"Wealth Invest HP Invest Korte Danske Obl",-0.00114792
2013-01-23,"iShares Gold Producers ETF USD Acc",-0.00905468
2013-01-23,"Nordea Invest Danske Aktier Fokus KL 2",0.0101111
2013-01-23,"Nordea Invest Korte Obli Lagerbe KL 2",-0.00144152
2013-01-23,"Nordea Invest Euro High Yield Bonds KL 2",-0.00156869
2013-01-30,"BankInvest Korte Danske Obligationer W",-0.00230288
2013-01-30,"BankInvest Korte Danske Obligationer A",-0.00230288
2013-01-30,"BGF Swiss Small & MidCap Opps D2",-0.00420793
2013-01-30,"BGF World Gold A2 HKD Hedged",-0.06283
2013-01-30,"BGF World Gold A2",-0.0625468
2013-01-30,"BGF World Gold X2",-0.0620437
2013-01-30,"BGF World Gold D4",-0.0573524
2013-01-30,"BGF World Gold I2",-0.0624377
2013-01-30,"BGF World Gold D2 SGD Hedged",-0.0694969
2013-01-30,"BGF Swiss Small & MidCap Opps A2",-0.00431848
2013-01-30,"BGF World Gold D2",-0.062312
2013-01-30,"BGF World Gold A4",-0.0625468
2013-01-30,"BSF European Unconstrained Eq I2 PF EUR",-0.00144457
2013-01-30,"Danske Invest Alm Bol ML Obl Kl DKK W d",-0.00223822
2013-01-30,"Danske Invest Danm In x OMXC20 DKK Wd",0.00811908
2013-01-30,"Danske Inv Euro IG CB Rst DKK Wd",-0.00934348
2013-01-30,"Danske Invest Euro IG Obl KL DKK Wdh",-0.010233
2013-01-30,"Danske Invest US High Yield Bonds KL",-0.010233
2013-01-30,"Danske Invest Kommuner 4 KL",-0.00276533
2013-01-30,"Danske Invest Danm In ex OMXC20 DKK d",0.00811908
2013-01-30,"Danske Inv EuroIG CorpBds Re KL DKKd",-0.00934348
2013-01-30,"Danske Invest Gl VO KL DKK W d h",-0.0101944
2013-01-30,"Danske Invest Euro IG Corp Bd I",-0.00380613
2013-01-30,"Wealth Invest HP Engros Korte Danske Obl",-0.00182011
2013-01-30,"Gudme Raaschou European High Yield",-0.00764013
2013-01-30,"Jyske Invest Højt Ratede Vrk.obl KL",-0.00693874
2013-01-30,"Maj Invest Danske Obligationer",-0.00507042
2013-01-30,"Maj Invest Vækstaktier",-0.0135946
2013-01-30,"Nordea Invest Engros Corporate Bonds",-0.0105403
2013-01-30,"Nordea Invest Danske Aktier Fokus KL 1",0.00615359
2013-01-30,"Nordea Invest Euro High Yield Bnd KL 1",-0.00901348
2013-01-30,"Nordea Invest Korte Obl Lagerbe KL 1",-0.00453702
2013-01-30,"Nykredit Alpha Mira",0.00196517
